species	total_length	completeness	draft_quality
Nitrosococcus watsonii	3373286	100	medium
Hyphomicrobium denitrificans	3638969	99.8	high
Dehalogenimonas lykanthroporepellens	1686510	97.36	high
Candidatus Regiella insecticola	2067400	98.39	high
Corynebacterium pseudotuberculosis	2337913	99.56	high
Sphingobacterium spiritivorum	5093512	99.84	high
Corynebacterium genitalium	2349953	99.78	high
Olsenella uli	2051896	99.19	high
Desulfarculus baarsii	3655731	98.71	high
Sediminispirochaeta smaragdinae	4653970	96.48	high
Prevotella melaninogenica	3168282	99.32	high
Brevundimonas subvibrioides	3445263	100	high
[Clostridium] saccharolyticum	4662871	99.37	high
Thermosediminibacter oceani	2280035	95.19	high
Corynebacterium pseudotuberculosis	2328208	99.56	high
Acetohalobium arabaticum	2469596	97.41	high
Cutibacterium acnes	2503840	98.94	medium
Acidilobus saccharovorans	1496453	99.37	medium
Corynebacterium pseudotuberculosis	2335113	99.56	high
Butyrivibrio proteoclasticus	4404886	99.57	high
Caldicellulosiruptor obsidiansis	2532343	99.52	high
Micromonospora aurantiaca	7025559	100	high
Gallionella capsiferriformans	3162471	99.37	high
Clostridium cellulovorans	5262222	98.83	high
Methanothermobacter marburgensis	1639135	100	medium
Cutibacterium acnes	2505472	98.7	medium
Cutibacterium acnes	2476421	99.43	medium
Thermoanaerobacterium thermosaccharolyticum	2785752	99.4	high
Ignisphaera aggregans	1875953	100	medium
Candidatus Cloacimonas acidaminovorans	2246820	100	high
Shewanella oneidensis	5131424	99.84	high
[Eubacterium] eligens	2831389	98.66	high
Mobiluncus curtisii	2152970	100	high
Peptoniphilus duerdenii	2124844	98.95	medium
Fibrobacter succinogenes	3843004	100	high
Prevotella marshii	2559358	99.66	high
[Eubacterium] yurii	2511030	99.3	high
Mobiluncus mulieris	2533633	99.05	high
Dickeya dadantii	4922802	99.96	high
Spirochaeta thermophila	2472645	100	high
Cyanothece sp. PCC 7822	7841948	99.82	high
Sulfurimonas autotrophica	2153198	99.18	high
Peptostreptococcus stomatis	1988044	98.6	high
Thermoanaerobacter wiegelii	2785056	99.52	high
Mesotoga prima	2975953	98.12	high
Streptomyces violaceusniger	11138313	100	high
Sphingobium chlorophenolicum	4573221	100	high
Methanolacinia petrolearia	2843290	99.67	medium
Vulcanisaeta distributa	2374137	99.26	medium
Mobiluncus mulieris	2384880	99.53	high
Ferrimonas balearica	4279159	100	high
Roseibium sp. TrichSKD4	5696886	98.55	high
Listeria grayi	2598321	99.45	high
Thermococcus barophilus	2064237	99.5	medium
Thermococcus sp. AM4	2086428	100	medium
Corynebacterium pseudotuberculosis	2337730	99.56	high
Oscillochloris trichoides	4373075	98.74	high
Eubacterium limosum	4316707	99.3	high
Ferroplasma acidarmanus	1935211	98.74	medium
Roseovarius nubinhibens	3676244	99.75	high
Janibacter sp. HTCC2649	4235068	99.73	high
Pseudooceanicola batsensis	4440389	99.6	high
Oceanicaulis sp. HTCC2633	3172051	99.84	high
Maritimibacter alkaliphilus	4536113	99.09	high
Parvularcula bermudensis	2902643	97.23	high
Roseovarius sp. 217	4770736	99.6	high
Erythrobacter sp. NAP1	3266173	98.95	high
Idiomarina baltica	2770272	97.09	medium
Leeuwenhoekiella blandensis	4244565	99.05	high
Marinomonas sp. MED121	5153226	98.39	medium
Synechococcus sp. WH 5701	3280236	99.18	medium
Synechococcus sp. RS9917	2584918	99.46	high
Blastopirellula marina	6663851	98.78	high
Congregibacter litoralis	4351117	99.57	high
marine actinobacterium PHSC20C1	2772187	99.24	high
Maribacter sp. HTCC2170	3868304	99.5	high
Reinekea blandensis	4526761	97.69	high
Nitrococcus mobilis	3623681	97.24	high
Polaribacter irgensii	2763458	99.33	high
Pseudoalteromonas tunicata	4994813	100	high
Synechococcus sp. WH 7805	2627046	99.73	high
Oceanicola granulosus	4053139	98.16	high
Neptuniibacter caesariensis	3924755	99.17	medium
Flavobacteria bacterium BBFL7	3103424	98.16	medium
Psychromonas sp. CNPT3	3052410	100	high
gamma proteobacterium HTCC2207	2634266	98.33	high
Aurantimonas manganoxydans	4326814	100	high
Psychroflexus torquis	4321832	98.73	high
Bermanella marisrubri	3552236	98.91	medium
Paenibacillus larvae	4033192	80.68	medium
Fulvimarina pelagi	3806238	99.6	high
Pelagibaca bermudensis	5482983	98.77	high
Rhodobacterales bacterium HTCC2255	2296803	94.58	high
Mariprofundus ferrooxydans	2992730	99.15	high
Synechococcus sp. BL107	2285034	99.46	high
Synechococcus sp. RS9916	2664873	99.73	high
Francisella tularensis	1887952	98.11	medium
Eubacterium ventriosum	2870795	98.66	high
Blautia obeum	3625508	99.01	high
[Ruminococcus] torques	2741706	99.42	high
Dorea longicatena	2915433	98.83	high
Francisella tularensis	1866493	99.37	medium
Bacteroides uniformis	4719097	98.88	high
Actinomyces odontolyticus	2393958	100	high
Clostridium sp. L2-50	2954616	99.33	high
[Eubacterium] dolichum	2191053	100	high
Anaerostipes caccae	3606936	99.33	high
[Clostridium] leptum	3270209	99.33	high
Coprococcus eutactus	3102987	99.33	high
Intestinibacter bartlettii	2972256	99.3	high
Alistipes putredinis	2550678	99.52	high
Erysipelatoclostridium ramosum	3235195	100	medium
[Clostridium] scindens	3622605	99.42	high
Bacteroides stercoris	4009829	99.26	high
Anaerotruncus colihominis	3719688	97.99	high
Hoeflea phototrophica	4468465	99.22	high
Kordia algicida	5033129	99.48	high
Roseobacter litoralis	4745450	99.25	high
[Clostridium] spiroforme	2507885	100	high
Anaerofustis stercorihominis	2284703	98.59	high
Bacteroides coprocola	4300117	98.88	high
Ruminococcus lactaris	2731235	99.42	high
Clostridiales bacterium 1_7_47FAA	6548966	99.37	medium
Helicobacter pullorum	1951667	98.47	high
Lactobacillus paracasei	3025352	99.46	high
Coleofasciculus chthonoplastes	8679041	98.93	high
Synechococcus sp. PCC 7335	5973558	98.91	high
Cyanobium sp. PCC 7001	2834252	99.46	high
Verrucomicrobiae bacterium DG1235	5775745	100	high
gamma proteobacterium HTCC5015	2625605	96.59	high
Octadecabacter arcticus	5478249	99.29	high
Glaciecola sp. HTCC2999	2560882	91.59	medium
[Bacteroides] pectinophilus	3028326	93.06	high
Coprococcus comes	3242215	99.42	high
Candidatus Pelagibacter sp. HTCC7211	1456888	100	high
Lactobacillus jensenii	1746219	97.62	high
Mitsuokella multacida	2577056	100	high
Butyrivibrio crossotus	2496039	99.33	high
Tyzzerella nexilis	3995628	99.16	medium
[Clostridium] hiranonis	2479772	100	medium
Rhodobacteraceae bacterium HTCC2083	4018415	99.36	high
Collinsella intestinalis	1809497	99.19	high
Collinsella stercoris	2475429	98.12	high
Caldanaerobacter subterraneus	2391417	75.1	medium
marine gamma proteobacterium HTCC2148	4326936	97.71	high
Roseobacter sp. GAI101	4527951	99.36	high
Methylophaga thiooxydans	3047652	97.73	high
Streptomyces ghanaensis	8511919	95.69	medium
[Clostridium] hylemonae	3889859	98.44	medium
Roseburia intestinalis	4411375	95.7	high
Anaerococcus lactolyticus	2206675	98.48	high
Corynebacterium glucuronolyticum	2809149	99.35	high
Holdemanella biformis	2517763	96.81	high
Blautia hansenii	3058721	98.73	high
Enterococcus casseliflavus	3427276	99.25	high
Mycobacterium kansasii	6577228	99.94	high
Bacteroides coprophilus	4041504	98.56	high
Prevotella copri	3512473	98.31	high
Subdoligranulum variabile	3245471	96.77	high
Blautia hydrogenotrophica	3626943	96.57	high
Holdemania filiformis	3932923	97.14	high
[Clostridium] asparagiforme	6417332	96.07	medium
Labrenzia alexandrii	5504826	99.58	high
gamma proteobacterium NOR5-3	4208084	98.59	high
Luminiphilus syltensis	3261541	99.02	high
Fusobacterium mortiferum	2671036	98.88	high
Fusobacterium periodonticum	2546312	100	high
Fusobacterium nucleatum	2514029	100	high
Fusobacterium necrophorum	1960925	92.7	high
Fusobacterium ulcerans	3487504	100	high
Helicobacter winghamensis	1690216	99.71	high
Oxalobacter formigenes	2488386	99.33	high
Oxalobacter formigenes	2436766	100	high
Prochlorococcus marinus	1691453	98.78	high
Eikenella corrodens	2171245	95.96	high
[Clostridium] methylpentosum	3478423	98.88	high
Streptomyces himastatinicus	11030030	93.29	medium
Streptomyces lividans	8318010	97.14	medium
Streptomyces viridochromogenes	8653262	98.35	medium
Actinomyces coleocanis	1723843	99.01	medium
Actinomyces urogenitalis	2702812	96.24	high
Clostridium sp. M62/1	3842594	99.37	high
Bacteroides sp. D2	6920457	98.81	medium
Anaerococcus tetradius	2145347	100	high
Corynebacterium accolens	2437186	99.78	high
Gardnerella vaginalis	1667350	99.24	high
Lactobacillus fermentum	1867005	98.63	high
Atopobium vaginae	1430526	100	high
Lactobacillus hilgardii	2721039	98.44	high
Lactobacillus jensenii	1604632	98.74	high
Lactobacillus vaginalis	1877332	98.64	high
Lactobacillus paracasei	2991737	99.31	medium
Corynebacterium lipophiloflavum	2385784	97.66	high
Alloprevotella tannerae	2585719	98.5	high
Catonella morbi	3479204	99.55	high
Dialister invisus	1895960	98.1	high
Abiotrophia defectiva	2043439	98.46	high
Hungatella hathewayi	7163884	87.24	medium
Shuttleworthia satelles	2169477	98.84	high
Oribacterium sp. oral taxon 078	2676554	98.09	high
Kingella oralis	2406675	97.81	high
Acetomicrobium hydrogeniformans	2123925	100	high
Prevotella bergensis	3273670	97.79	medium
Selenomonas noxia	2054993	99.65	medium
Weissella paramesenteroides	1980223	99.39	high
Mobiluncus mulieris	2435166	99.05	high
Oribacterium sinus	2706954	92.18	medium
Cardiobacterium hominis	2642494	97.57	high
Granulicatella adiacens	1947166	99.45	medium
Selenomonas flueggei	2166063	98.89	high
Aeromicrobium marinum	3079840	99.74	high
Lactobacillus antri	2302896	98.82	medium
Lactobacillus iners	1277649	99.41	high
Citreicella sp. SE45	5523231	98.29	high
Ruegeria lacuscaerulensis	3523710	99.54	high
Thalassobium sp. R2A62	3487925	99.02	high
Lactobacillus jensenii	1639455	98.83	high
Lactobacillus coleohominis	1725829	100	high
[Eubacterium] saphenum	1084901	88.42	medium
Jonquetella anthropi	1790058	100	high
Faecalibacterium prausnitzii	3090349	98.19	high
Lactobacillus fermentum	2026518	98.63	high
Lactobacillus jensenii	1648660	98.38	high
Granulicatella elegans	1743361	88.52	medium
Helicobacter canadensis	1623845	99.66	high
Legionella drancourtii	4152613	96.28	medium
Slackia exigua	2096289	100	high
Actinomyces sp. oral taxon 848	2520418	97.5	high
Erysipelotrichaceae bacterium 5_2_54FAA	3137498	99.06	high
alpha proteobacterium HIMB114	1237371	98.81	high
Serratia odorifera	5267389	99.81	high
Bacteroidetes oral taxon 274	2113539	98.39	high
Simonsiella muelleri	2372614	97.46	high
Streptomyces clavuligerus	8556892	98.93	high
Filifactor alocis	1931012	97.9	high
Mycobacterium parascrofulaceum	6564171	98.06	high
Komagataeibacter hansenii	3636659	98.33	medium
Roseomonas cervicalis	5100977	94.15	high
Streptococcus parasanguinis	2153652	99.89	high
Rothia dentocariosa	2506025	99.34	high
Enterobacter lignolyticus	4814049	99.05	high
Hydrogenobacter thermophilus	1742932	98.78	high
Paenibacillus polymyxa	6238510	99.85	high
Halanaerobium praevalens	2309262	100	high
Stigmatella aurantiaca	10260756	100	high
Ilyobacter polytropus	3132314	100	high
Leuconostoc fallax	1638971	95.67	high
Rubinisphaera brasiliensis	6006602	95.56	high
Megasphaera micronuciformis	1765528	100	high
Aminomonas paucivorans	2630170	98.31	high
Bifidobacterium bifidum	2214656	99.54	high
Rhodomicrobium vannielii	4014469	97.77	high
Methanothermus fervidus	1243342	100	high
Frankia inefficax	8815781	100	high
Mucilaginibacter paludis	8408322	97.46	high
Algoriphagus machipongonensis	4787724	99.62	high
Marinobacter adhaerens	4651725	99.53	high
Caldicellulosiruptor hydrothermalis	2770676	99.52	high
Leadbetterella byssophila	4059653	98.96	high
Halanaerobium hydrogeniformans	2613117	99.13	high
Caldicellulosiruptor kristjanssonii	2802443	100	high
Crocosphaera watsonii	6238156	99.74	high
Desulfuromonas acetoxidans	3828328	97.97	high
Rickettsiella grylli	1581239	93.02	high
Chlorobium ferrooxidans	2538957	95.66	high
Candidatus Endoriftia persephone	3203254	58.17	medium
Francisella tularensis	1894157	99.82	high
Yersinia pestis	4472646	58.62	medium
Labrenzia aggregata	6561391	99.89	high
Methylophilales bacterium HTCC2181	1304428	97.82	high
Collinsella aerofaciens	2439869	99.6	high
marine gamma proteobacterium HTCC2143	3925629	98.38	high
marine gamma proteobacterium HTCC2080	3576081	99.38	high
Thermosinus carboxydivorans	2889774	96.52	high
Microscilla marina	9771226	98.79	high
Dorea formicigenerans	3186031	99.42	high
Pseudoflavonifractor capillosus	4241076	98.32	high
Cyanothece sp. CCY0110	5880532	99.78	high
Marinobacter sp. ELB17	4894744	98.42	high
Rhodobacteraceae bacterium HTCC2150	3582902	99.59	high
Sagittula stellata	5262893	99.68	high
Roseobacter sp. CCS2	3497325	98.78	high
Roseobacter sp. SK209-2-6	4555826	99.95	high
Yersinia pestis	4720694	99.82	high
Francisella tularensis	1800530	99.02	high
Beggiatoa sp. PS	7631539	89.76	medium
Caminibacter mediatlanticus	1663618	98.67	high
Lentisphaera araneosa	6023180	97.12	medium
Pedobacter sp. BAL39	5788054	100	high
Roseobacter sp. AzwK-3b	4178704	99.4	high
Plesiocystis pacifica	10587646	95.16	high
Limnobacter sp. MED105	3390271	99.27	medium
Diplosphaera colitermitum	5671497	98.06	high
Epulopiscium sp. 'N.t. morphotype B'	2686047	72.84	medium
Bacillus coahuilensis	3381351	96.89	high
Gemmata obscuriglobus	9161841	92.95	medium
alpha proteobacterium BAL199	6102701	99.35	high
Flavobacteriales bacterium ALC-1	3825707	98.84	high
Shewanella benthica	4351589	97.75	high
Oceanibulbus indolifex	4105524	99.68	high
Verrucomicrobium spinosum	8220857	100	high
[Haemophilus] parasuis	1512980	63.35	medium
Anaplasma marginale	1141520	96.65	high
Anaplasma marginale	1158530	98.93	high
Anaplasma marginale	1153875	99.36	high
Pedosphaera parvula	7414222	99.32	high
Alteromonas macleodii	4653851	99.66	high
Dethiosulfovibrio peptidovorans	2576359	100	high
Halogeometricum borinquense	3944467	99.92	high
Chthoniobacter flavus	7848700	97.3	high
Flavobacteria bacterium MS024-2A	1905484	91.18	high
Flavobacteria bacterium MS024-3C	1515248	72.67	medium
Anaerococcus hydrogenalis	1889366	95.83	high
Arthrospira maxima	6003314	96.58	high
Sulfurihydrogenibium yellowstonense	1534471	86.08	medium
Corynebacterium amycolatum	2513912	99.85	medium
Capnocytophaga sputigena	2997845	99.52	high
Catenibacterium mitsuokai	2671313	100	high
Marvinbryantia formatexigens	4548960	98.73	high
Neisseria cinerea	1872773	98.12	high
Gemella haemolysans	1916192	98.08	high
[Eubacterium] hallii	3290996	99.33	medium
Atopobium rimae	1626291	100	high
Roseburia inulinivorans	4048462	99.18	medium
Pseudogulbenkiania ferrooxidans	4228787	99.53	high
Enterococcus faecium	3052572	99.25	high
Dethiobacter alkaliphilus	3116746	95.76	high
Desulfonatronospira thiodismutans	4107394	100	high
Capnocytophaga gingivalis	2667138	99.76	high
Porphyromonas endodontalis	2064508	99.45	high
Ruminococcus flavefaciens	4573608	99.78	high
Chlamydia muridarum	1070933	98.69	medium
Lactobacillus jensenii	1688275	98.83	high
Nitrosomonas sp. AL212	3337023	99.84	high
Asticcacaulis excentricus	4308776	99.68	high
Zymomonas mobilis	2143461	100	high
Corynebacterium matruchotii	2855988	99.89	high
Clostridium botulinum	2541246	97.93	high
Arthrospira platensis	6501886	99.34	high
Sulfolobus solfataricus	2680466	100	medium
Acidithiobacillus caldus	2987045	99.38	high
[Clostridium] papyrosolvens	4915287	99.32	high
Cylindrospermopsis raciborskii	3879030	99.85	high
Raphidiopsis brookii	3186511	99.37	high
Rhodobacter sp. SW2	3514342	96.46	high
Legionella longbeachae	4086210	100	high
Vibrio metschnikovii	3815101	98.51	high
Vibrio orientalis	4698244	100	high
Leptotrichia goodfellowii	2287284	100	high
Citromicrobium bathyomarinum	3273334	99.59	high
Mobiluncus mulieris	2452380	99.53	high
Photobacterium damselae	5046328	98.86	high
Acidovorax avenae	5482170	99.81	high
Arthrospira sp. PCC 8005	6166364	99.93	high
Desulfovibrio aespoeensis	3629109	99.41	high
Ruminococcaceae bacterium D16	3197355	99.33	medium
Prevotella buccalis	3033961	99.29	medium
Bacillus cellulosilyticus	4681672	99.01	high
Pyramidobacter piscolens	2562014	100	high
Bulleidia extructa	1419583	98.1	high
Corynebacterium resistens	2601311	99.32	high
Megasphaera genomosp. type_1	1726197	100	high
Frankia symbiont of Datisca glomerata	5340989	98.36	high
Desulfurispirillum indicum	2928377	94.77	high
Ethanoligenens harbinense	3008576	97.32	high
Turicibacter sanguinis	2953411	99.4	medium
Atopobium vaginae	1418601	100	high
Brevibacterium mcbrellneri	2561804	99.42	medium
Lactobacillus amylolyticus	1540806	99.03	high
Methylosinus trichosporium	4962262	100	high
Cellulosilyticum lentocellum	4714237	97.99	high
Shewanella baltica	5368767	99.84	high
Granulicella mallensis	6237577	99.14	high
Granulicella tundricola	5503984	99.15	high
Prevotella bryantii	3592947	97.08	high
Synechococcus sp. CB0101	2686395	99.73	medium
Synechococcus sp. CB0205	2427308	99.18	high
delta proteobacterium NaphS2	6554722	94.52	high
Corynebacterium variabile	3433007	98.87	high
Desulfovibrio fructosivorans	4673595	100	high
Methanothermococcus okinawensis	1677455	99.05	medium
Acetivibrio cellulolyticus	6156735	99.32	high
Paenibacillus curdlanolyticus	5452778	99.73	high
Ruminococcus albus	4482087	99.32	high
Atopobium vaginae	1449613	100	high
Ahrensia sp. R2A130	3731054	99.46	high
Acidithiobacillus sp. GGI-221	3174934	85.76	medium
Terriglobus saanensis	5095226	100	high
Plautia stali symbiont	4092852	96.45	high
[Oscillatoria] sp. PCC 6506	6676705	99.12	high
Gimesia maris	7777997	100	high
Borreliella spielmanii	1252559	100	high
Komagataeibacter medellinensis	3513191	99.5	high
Paludibacter propionicigenes	3685504	100	high
Corynebacterium bovis	2522962	98.72	high
Escherichia coli	4894879	99.97	medium
Calditerrivibrio nitroreducens	2216552	99.07	high
Marivirga tractuosa	4516490	100	high
[Eubacterium] cellulosolvens	3384656	99.36	high
Thermaerobacter subterraneus	2888741	100	high
Peptoniphilus harei	1836030	99.3	medium
Clostridium sp. HGF2	4099852	100	high
Candidatus Liberibacter solanacearum	1258278	98.56	high
Staphylococcus hominis	2268397	99.19	high
Sulfuricurvum kujiense	2819357	99.59	high
Oceanithermus profundus	2439291	98.72	high
Listeria innocua	3115943	75.61	medium
Spirochaeta thermophila	2560222	100	high
Mycobacterium gilvum	5783292	99.81	high
Lactobacillus farciminis	2498309	99.78	high
Intrasporangium calvum	4024382	100	high
Thermaerobacter marianensis	2844696	100	high
Variovorax paradoxus	6550056	100	high
